Roba un vehiculo;15-17,17-19,19-21;mar,mie;grupo
Mision de trafico ilegal;9-12,17-20,22-23;lun,jue,sab;grupo
Robo a negocio;0-11,12-23;lun,mie,vie,dom;grupo
Lancha encallada;2-4,16-18,18-20,20-22;lun,mar,vie,dom;grupo
Elaboracion de metanfetamina (dia 1);7-23;lun;grupo
Elaboracion de metanfetamina (dia 2);7-23;mie;grupo
Elaboracion de metanfetamina (dia 3);7-23;vie;grupo
Dia de la recompensa;7-23;dom;grupo
Reparto aereo;9-12,17-20,22-23;mar,vie;grupo
Busqueda de contenedores;2-4,18-20,20-22,22-23;mar,mie,vie,sab;grupo
Roba un vehiculo;13-15,17-18,19-20,20-22,22-23;todos;pandilla
Roba la camioneta de la pintureria;2-4,9-11,15-17,21-22;mar,jue;pandilla
Robo de propiedad;0-11,12-23;mar,jue,sab;pandilla
Robo a negocio;0-11,12-23;todos;pandilla
Busqueda de contenedores;2-4,9-11,15-17,21-22;todos;pandilla
Cuidado de la plantacion (dia 1);7-23;lun;pandilla
Cuidado de la plantacion (dia 2);7-23;mie;pandilla
Cuidado de la plantacion (dia 3);7-23;vie;pandilla
Dia de la recompensa;7-23;dom;pandilla
Reparto de quimicos;14-20;todos;pandilla
Mision de trafico ilegal (Avanzado);16-18,21-22;todos;pandilla
Arrasa con sus vehiculos;17-18,20-21;todos;pandilla
Mantenimiento de maquinas de lavado;18-19;todos;pandilla
Trafico multiple;21-22;mie,vie;pandilla
Trafico de organos;17-19;mar;pandilla
Mantenimiento de secuestrado (NPC);16-23;lun;pandilla
Busqueda acuatica;22-23;todos;pandilla
Mision de trafico ilegal;14-15,18-19,22-23;lun,mie,vie,dom;motero
Trafico naval;14-15,18-19,22-23;mar,jue,sab;motero
Robo a almacen;0-11,12-23;todos;motero
Robo a negocio;0-11,12-23;todos;motero
Robo a motocicleta;1-3,13-15,17-18,19-20,20-22,22-23;todos;motero
Busqueda de contenedores;2-4,9-11,15-17,21-22;todos;motero
Reparto de quimicos;17-18;mar,jue;motero
Mision de trafico ilegal (Avanzado);16-18,21-22;lun,mie,vie,dom;motero
Trafico naval (Avanzado);16-18,21-22;mar,jue,sab;motero
Arrasa con sus vehiculos;19-20,22-23;todos;motero
Mantenimiento de maquinas de lavado;21-22;todos;motero
Trafico multiple;21-22;todos;motero
Trafico de organos;21-23;mar;motero
Mantenimiento de secuestrado (NPC);16-23;lun;motero
Busqueda acuatica;19-20;todos;motero
